Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
Superwise.AI,https://finder.startupnationcentral.org/company_page/superwise-ai,Model Observability Platform for High-scale Production,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Mature,35509823
Guide In Medical,https://finder.startupnationcentral.org/company_page/guide-in-medical,Noninvasive Guided Endotracheal Intubation Device,Life Sciences & HealthTech,2015,01-Oct,Pre-Funding,52127198
Libra@Home,https://finder.startupnationcentral.org/company_page/libra-home,Portable Rehabilitation System for Balance Disorders,Life Sciences & HealthTech,2015,01-Oct,Seed,18229011
Silenseed,https://finder.startupnationcentral.org/company_page/silenseed,RNAi-based Cancer Drugs and Delivery Systems,Life Sciences & HealthTech,2008,Nov-50,Seed,
Amenity Analytics,https://finder.startupnationcentral.org/company_page/amenity-analytics,Text Analytics,"Enterprise, IT & Data Infrastructure",2015,Nov-50,Mature,7960094
SPHEREO,https://finder.startupnationcentral.org/company_page/intuitive-audio-labs1,Sound Customization Technology for Mobile Devices,Content & Media,2017,Nov-50,Seed,18729300
Trucknet Enterprise,https://finder.startupnationcentral.org/company_page/trucknet-enterprise,Supply Chain Management and Optimization Platform,Smart Mobility,2014,Nov-50,Public,
Visitt.io,https://finder.startupnationcentral.org/company_page/onh,Facility Operations Management Solution,"Enterprise, IT & Data Infrastructure",2016,Nov-50,Pre-Seed,18809904
Qubex,https://finder.startupnationcentral.org/company_page/qubex,Solution for Immediate Response,"Enterprise, IT & Data Infrastructure",2023,01-Oct,Pre-Funding,93254650
WireX Systems,https://finder.startupnationcentral.org/company_page/wirex-systems,Network Forensics and Cyber-security Analytics Solutions,Security Technologies,2010,Nov-50,A,1179589
CartaSense,https://finder.startupnationcentral.org/company_page/cartasense,Wireless Monitoring for Pharmaceutical and Agricultural Logistics ,Smart Mobility,2007,Nov-50,A,1176081
ARTsys360,https://finder.startupnationcentral.org/company_page/artsys360,Micro-radar Sensors,Aerospace & Aviation,2013,Nov-50,B,141764
SensoGuard,https://finder.startupnationcentral.org/company_page/sensoguard,Seismic and Magnetic Sensors for Security and IoT,Security Technologies,2012,Nov-50,Pre-Funding,2977317
Apono,https://finder.startupnationcentral.org/company_page/apono,Permission Management Solution for DevOps,Security Technologies,2021,Nov-50,Seed,78367340
CorNeat Vision,https://finder.startupnationcentral.org/company_page/corneat-vision,Biomimetic Implants and Technology,Life Sciences & HealthTech,2015,Nov-50,B,18006267
Nine Plus Life,https://finder.startupnationcentral.org/company_page/nine-plus-life,Online Marketplace Connecting Pregnant Women with Doulas,Life Sciences & HealthTech,2017,01-Oct,Seed,
Coreteel,https://finder.startupnationcentral.org/company_page/coreteel,Corrosion Protection Technology,Industrial Technologies,2015,01-Oct,Seed,
DailyRobotics,https://finder.startupnationcentral.org/company_page/dailyrobotics,Advanced Robotics for Agriculture,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,85607849
IO River,https://finder.startupnationcentral.org/company_page/io-river,Virtual Edge Maximizes the Power of the Internet,"Enterprise, IT & Data Infrastructure",2022,01-Oct,Pre-Funding,87452355
Swift Duct,https://finder.startupnationcentral.org/company_page/swift-duct,Novel Endoscope for Safe and Accurate ERCP Procedures,Life Sciences & HealthTech,2020,01-Oct,Seed,72135609
Grin,https://finder.startupnationcentral.org/company_page/grin,Teledental Platform for Connecting Patients with Orthodontists,Life Sciences & HealthTech,2019,Nov-50,Seed,64879643
Sign Now,https://finder.startupnationcentral.org/company_page/sign-now,Sign Language Interpretation Technology,Life Sciences & HealthTech,2019,01-Oct,Seed,56405443
AST Clean Water Technologies,https://finder.startupnationcentral.org/company_page/ast,Water Treatment Solutions,AgriFood-tech & Water,2006,Nov-50,Pre-Funding,10557829
TechsoMed,https://finder.startupnationcentral.org/company_page/techsomed,Ultrasound-based Real-time Monitoring Systems for Thermal Ablation,Life Sciences & HealthTech,2012,Nov-50,B,8141297
Sensifree,https://finder.startupnationcentral.org/company_page/sensifree,Sensors for Contactless Heart Rate Monitoring ,Life Sciences & HealthTech,2012,01-Oct,A,2909611
Brainsway,https://finder.startupnationcentral.org/company_page/brainsway,Advanced Technology Solutions for Brain Disorders,Life Sciences & HealthTech,2003,51-200,Public,3253269
BillRun Technologies,https://finder.startupnationcentral.org/company_page/billrun,"Open-source BSS for Big Data, Telecoms, and IoT providers","Enterprise, IT & Data Infrastructure",2012,Nov-50,Pre-Funding,10518310
SATEC Powerful Solutions,https://finder.startupnationcentral.org/company_page/satec,Energy Management Solutions,Energy-tech,1991,51-200,Mature,889073
IntuView,https://finder.startupnationcentral.org/company_page/intuview,Semantic Text Analysis,"Enterprise, IT & Data Infrastructure",2005,01-Oct,Seed,406759
Biond Biologics,https://finder.startupnationcentral.org/company_page/biond-biologics,Immunotherapies for Cancer and Auto-immune Diseases,Life Sciences & HealthTech,2016,Nov-50,C,18156602
Ariga,https://finder.startupnationcentral.org/company_page/ariga,Database Schema Management,"Enterprise, IT & Data Infrastructure",2021,Nov-50,A,76107497
Efficient Frontier,https://finder.startupnationcentral.org/company_page/efficient-frontier,Corporate Trading and Intelligence Technology for Digital Assets,FinTech,2018,Nov-50,Seed,33298042
Ophthalmic Sciences,https://finder.startupnationcentral.org/company_page/ophthalmic-sciences,Intraocular Pressure Measurement Device,Life Sciences & HealthTech,2019,01-Oct,Pre-Seed,67906741
Carpe Diem Solutions,https://finder.startupnationcentral.org/company_page/carpe-diem-solutions,Real-time IoT Computing and Connectivity,Industrial Technologies,2018,01-Oct,Pre-Seed,18986659
CommonGround,https://finder.startupnationcentral.org/company_page/commonground,Meaningful Digitalâ€“Human Interaction,Content & Media,2020,51-200,A,37045965
FUGU,https://finder.startupnationcentral.org/company_page/fugu,Post-purchase Payment Tracking,FinTech,2019,Nov-50,Seed,53142630
Arkal Automotive,https://finder.startupnationcentral.org/company_page/arkal-automotive,Plastic Components for Cars,Smart Mobility,1997,51-200,Mature,1513895
Hola,https://finder.startupnationcentral.org/company_page/hola,VPN Solutions,Content & Media,2008,201-500,Mature,820275
Appnext,https://finder.startupnationcentral.org/company_page/appnext,Mobile Discovery Platform,Retail & Marketing,2012,51-200,Mature,2651924
Eureka Security,https://finder.startupnationcentral.org/company_page/eureka-security,Cloud Data Security Posture Management Platform,Security Technologies,2021,Nov-50,Seed,
Pattern Insurance,https://finder.startupnationcentral.org/company_page/setoo,Automated SaaS Insurance Platform,FinTech,2017,Nov-50,A,27062360
RSPCT Basketball Technologies,https://finder.startupnationcentral.org/company_page/rspct-basketball-technologies,Basketball Shot Data Anaylsis,"Enterprise, IT & Data Infrastructure",2015,01-Oct,Seed,18142098
InState,https://finder.startupnationcentral.org/company_page/instate,Enterprise Credit Network and Platform,FinTech,2019,01-Oct,Pre-Seed,71554173
dayzz,https://finder.startupnationcentral.org/company_page/dayzz,AI-based Sleep Training Plans,Life Sciences & HealthTech,2017,Nov-50,Pre-Funding,18163756
Joni,https://finder.startupnationcentral.org/company_page/pyrogss,Chrome Extension for Personalizing Messages in WhatsApp Web,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Funding,
CloudBeat,https://finder.startupnationcentral.org/company_page/cloudbeat,Automated Testing and Monitoring Platform,"Enterprise, IT & Data Infrastructure",2018,01-Oct,Seed,10069004
RodRadar,https://finder.startupnationcentral.org/company_page/rod-radar,Obstacle Detection Sensors for the Construction Industry,Security Technologies,2011,Nov-50,A,18268161
Storywise AI,https://finder.startupnationcentral.org/company_page/storywise-ai,The AI Wizard That Turns Story Into A Bestseller,Content & Media,2023,01-Oct,Pre-Funding,
Ambrosia Bio,https://finder.startupnationcentral.org/company_page/ambrosia-bio,Revamping sugar refineries into specialty ingredients factories. ,AgriFood-tech & Water,2020,01-Oct,Seed,80011252
Bridgecrew,https://finder.startupnationcentral.org/company_page/virtue-a-i,Code Security Platform,Security Technologies,2019,Nov-50,Mature,14836856
BandPad,https://finder.startupnationcentral.org/company_page/bandpad,Online Musical Instrument Lessons,Content & Media,2011,01-Oct,Pre-Funding,
Battery Solution International,https://finder.startupnationcentral.org/company_page/battery-solution-international-bsi,Battery Life Extension and Refurbishment,Energy-tech,2009,01-Oct,Mature,989502
Liquid360,https://finder.startupnationcentral.org/company_page/liquid360,Field-centric Security Solutions,Security Technologies,2020,01-Oct,Pre-Funding,53419814
AllSeated,https://finder.startupnationcentral.org/company_page/allseated,VR-based Visualization Tools for Events,"Enterprise, IT & Data Infrastructure",2011,Nov-50,Seed,2908188
SPRING Vision,https://finder.startupnationcentral.org/company_page/spring-biomed-vision,Eye Examination Technology,Life Sciences & HealthTech,2015,Nov-50,Pre-Funding,69188561
TPCera,https://finder.startupnationcentral.org/company_page/tpcera,Immunomodulatory Treatment for Autoimmune Diseases,Life Sciences & HealthTech,2016,01-Oct,A,
Cuspa,https://finder.startupnationcentral.org/company_page/cuspa,Transcatheter Treatment for Valve Insufficiency,Life Sciences & HealthTech,2019,01-Oct,Seed,
FTX Games,https://finder.startupnationcentral.org/company_page/funtactix,Mobile Games Based on Movies,Content & Media,2006,Nov-50,Mature,7965445
Varonis Systems,https://finder.startupnationcentral.org/company_page/varonis-systems,Data Security Platform,Security Technologies,2005,500+,Public,25403
Elisra,https://finder.startupnationcentral.org/company_page/elisra,Electronic Warning Systems for Aircraft,Aerospace & Aviation,1966,201-500,Mature,163598
Avantis,https://finder.startupnationcentral.org/company_page/avantis,Monetization Solutions,Retail & Marketing,2012,Nov-50,Seed,4852665
CMT Medical Technologies,https://finder.startupnationcentral.org/company_page/cmt-medical-technologies,Digital X-Ray Imaging Systems for Medical Diagnosis,Life Sciences & HealthTech,1981,51-200,Mature,419141
CureSound,https://finder.startupnationcentral.org/company_page/brh-medical,Wound-healing System,Life Sciences & HealthTech,2010,01-Oct,Seed,
Fabumin,https://finder.startupnationcentral.org/company_page/fabumin,Plant-based Substitute for Albumin,AgriFood-tech & Water,2020,01-Oct,Pre-Funding,74760515
AQUASMART,https://finder.startupnationcentral.org/company_page/aquasmart,AI-powered Water Leak Prediction,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,79043685
Funatix Club,https://finder.startupnationcentral.org/company_page/proyoli-gaming,Online Sports Games,Content & Media,2015,Nov-50,Seed,11792098
TreeTube,https://finder.startupnationcentral.org/company_page/treetube,Urban Greening Solutions,Industrial Technologies,2019,01-Oct,Pre-Funding,2280042442
DG4,https://finder.startupnationcentral.org/company_page/dg4,Supply Chain Digitalization Solution,Industrial Technologies,2020,01-Oct,Pre-Funding,68538282
Sunday Security,https://finder.startupnationcentral.org/company_page/pandora-security,Personal Cybersecurity Platform,Security Technologies,2020,Nov-50,Seed,66879500
Strikeco,https://finder.startupnationcentral.org/company_page/strikecosense,Sports Simulator Platform,Content & Media,2021,01-Oct,Pre-Seed,81295959
Correlate Capital,https://finder.startupnationcentral.org/company_page/correlate-capital,Technology-driven Quantitative Trading Firm,FinTech,2018,01-Oct,A,35630676
Kaleidoo,https://finder.startupnationcentral.org/company_page/kaleidoo,AI-powered Business Solutions,"Enterprise, IT & Data Infrastructure",2019,01-Oct,Pre-Funding,19225598
Woosh Water Systems,https://finder.startupnationcentral.org/company_page/woosh,Network of Public Water Stations,AgriFood-tech & Water,2010,01-Oct,Pre-Funding,69218847
Inomize,https://finder.startupnationcentral.org/company_page/inomize,ASIC/SoC Design and Manufacturing,Industrial Technologies,2007,51-200,Mature,907032
Istra Research,https://finder.startupnationcentral.org/company_page/istra-research,Automated Trading Firm ,FinTech,2008,51-200,Mature,526859
Primis,https://finder.startupnationcentral.org/company_page/sekindo,Video Discovery Platform,Retail & Marketing,2007,51-200,Mature,9761678
Panoply,https://finder.startupnationcentral.org/company_page/color,Financial Data Warehouse as a Service,"Enterprise, IT & Data Infrastructure",2015,Nov-50,Mature,
Melingo,https://finder.startupnationcentral.org/company_page/melingo,Online Dictionaries and Search Engines,Content & Media,2001,Nov-50,Pre-Funding,721515
PDP-Tech,https://finder.startupnationcentral.org/company_page/pdp-technologies,Predictive Maintenance Solution,Energy-tech,2014,01-Oct,Pre-Seed,64933518
H2OLL,https://finder.startupnationcentral.org/company_page/h2oll,Atmospheric Water Generator,AgriFood-tech & Water,2019,01-Oct,Pre-Funding,90865178
Nervio,https://finder.startupnationcentral.org/company_page/nervio,AI-based Surgical Neuromonitoring,Life Sciences & HealthTech,2019,Nov-50,Seed,19084243
GenieLabs,https://finder.startupnationcentral.org/company_page/genielabs,Enabling AI-UGC technology to empower games,Content & Media,2022,01-Oct,Pre-Seed,
Ovo Technology,https://finder.startupnationcentral.org/company_page/ovo,Sex-reversal Technology for the Poultry Industry,AgriFood-tech & Water,2017,01-Oct,Seed,69181187
CAPS Medical,https://finder.startupnationcentral.org/company_page/caps-medical1,Selective Minimally Invasive Treatment of Solid Tumors,Life Sciences & HealthTech,2018,Nov-50,A,12664432
Enwize,https://finder.startupnationcentral.org/company_page/enwize,AR/VR-based Maintenance and Training Platform,"Enterprise, IT & Data Infrastructure",2019,01-Oct,Pre-Funding,19132120
Brew,https://finder.startupnationcentral.org/company_page/brew,Marketing Strategy Platform,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Seed,73982974
InMode,https://finder.startupnationcentral.org/company_page/inmode,RF-based Aesthetic Devices for Skincare,Life Sciences & HealthTech,2008,201-500,Public,5279219
Ayecka Communication Systems,https://finder.startupnationcentral.org/company_page/ayecka,IP and Video Delivery over Satellite,Aerospace & Aviation,2005,Nov-50,Pre-Funding,2698219
nanobb,https://finder.startupnationcentral.org/company_page/nutrits,Baby Bottle that Preserves Breast Milk Nutrients,Life Sciences & HealthTech,2013,Nov-50,Seed,10249867
IMGN Media,https://finder.startupnationcentral.org/company_page/comedy-com,Platform for Social Content Publishing,Retail & Marketing,2015,51-200,Mature,5298343
Medint Medical Intelligence,https://finder.startupnationcentral.org/company_page/medint-medical-intelligence,Decision-support Platform for Patients and Doctors,Life Sciences & HealthTech,2016,Nov-50,Seed,10578372
Jupiter-EV,https://finder.startupnationcentral.org/company_page/jupiter-ev,Multiple EV Fast Charging Station,Smart Mobility,2022,01-Oct,Pre-Funding,
AgPlenus,https://finder.startupnationcentral.org/company_page/agplenus,Agrochemical Products,AgriFood-tech & Water,2018,Nov-50,Pre-Funding,18912667
Mirrori CO,https://finder.startupnationcentral.org/company_page/mirrori,AI-driven Beauty and Skincare Assistant,Retail & Marketing,2019,01-Oct,Seed,15837158
iSite,https://finder.startupnationcentral.org/company_page/isite,Personal Space Digitizer for Construction Workers,Industrial Technologies,2016,01-Oct,Seed,54120502
MyleFly,https://finder.startupnationcentral.org/company_page/mylefly,Marketplace for Airline Loyalty Programs,Retail & Marketing,2011,Nov-50,Pre-Funding,3047871
Xeye.ai,https://finder.startupnationcentral.org/company_page/xeye-ai,AI-based NFTD Imaging for Crowd Safety,Security Technologies,2015,01-Oct,Seed,27032719
LIVEgg,https://finder.startupnationcentral.org/company_page/livegg,Biotech Solutions for the Poultry Industry,AgriFood-tech & Water,2015,01-Oct,Seed,13004319
Hyve,https://finder.startupnationcentral.org/company_page/hyve,"Automated Savings, Investing, and Debt Management",FinTech,2021,Nov-50,Pre-Seed,91676174
Cuyari,https://finder.startupnationcentral.org/company_page/cuyari,Business Intelligence for Amazon Sellers,"Enterprise, IT & Data Infrastructure",2020,01-Oct,Pre-Funding,77626745
CAPSULE Minimal,https://finder.startupnationcentral.org/company_page/capsule-minimal,Eco-friendly Hygiene Products,Life Sciences & HealthTech,2022,01-Oct,Seed,86405736
OphtiMed Rx,https://finder.startupnationcentral.org/company_page/ophtimed-rx,Novel Molecular Therapy for Treating Dry Age-related Macular Degeneration,Life Sciences & HealthTech,2021,01-Oct,Seed,
Zavitan Technologies,https://finder.startupnationcentral.org/company_page/rightwash,Water-saving Aerated Shower System,AgriFood-tech & Water,2017,Nov-50,Pre-Funding,43356257
Unboxable,https://finder.startupnationcentral.org/company_page/lnrd-io,Hiring Prediction Technology,"Enterprise, IT & Data Infrastructure",2020,Nov-50,Seed,37447276
Viritis,https://finder.startupnationcentral.org/company_page/viritis,Biological Nanobots for Treating Pathogenic Viruses,Life Sciences & HealthTech,2020,01-Oct,Pre-Seed,70943980
Envario,https://finder.startupnationcentral.org/company_page/envario,No-code Platform for Creating Virtual Environments,"Enterprise, IT & Data Infrastructure",2020,01-Oct,Seed,69695052
Actics Medical,https://finder.startupnationcentral.org/company_page/actics-medical,Digitizing the Future of Foot Therapy,Life Sciences & HealthTech,2020,01-Oct,Pre-Funding,67922544
CodeFuel,https://finder.startupnationcentral.org/company_page/codefuel,Monetization Solutions for Publishers,Retail & Marketing,2019,51-200,Pre-Funding,3490231
Vibe Imaging Analytics,https://finder.startupnationcentral.org/company_page/vibe-imaging-analytics,Quality Control Through Computer Vision,AgriFood-tech & Water,2011,Nov-50,Pre-Funding,1875498
Shekel Scales,https://finder.startupnationcentral.org/company_page/shekel-scales,High-precision Weighing Solutions for Retail and Medical Industries,Industrial Technologies,,51-200,Mature,2418683
Persona.ly,https://finder.startupnationcentral.org/company_page/persona-ly,Personalized Monetization Solutions,Retail & Marketing,2014,Nov-50,Pre-Funding,5255813
Sagarmatha,https://finder.startupnationcentral.org/company_page/sagarmatha,Data-based Solutions for Automated Retail Marketing,Retail & Marketing,1999,51-200,Mature,2008374
Wilco Tech,https://finder.startupnationcentral.org/company_page/wilco-tech,Upskilling Platform for Software Developers,Content & Media,2021,51-200,Seed,71218876
Dosentrx,https://finder.startupnationcentral.org/company_page/dosentrx,Comprehensive Medication and Therapy Management Platform,Life Sciences & HealthTech,2011,Nov-50,Seed,12641844
Xsight Labs,https://finder.startupnationcentral.org/company_page/xsight-labs,End-to-end Connectivity Solutions for Cloud Infrastructure,Industrial Technologies,2017,51-200,D,18165786
OUTCERT,https://finder.startupnationcentral.org/company_page/outcert,Technology Certification Hub,Content & Media,2016,Nov-50,Pre-Funding,10309573
HQ ,https://finder.startupnationcentral.org/company_page/hq,Corporate Transport and Booking Platform,Smart Mobility,2018,Nov-50,Seed,
Parsempo,https://finder.startupnationcentral.org/company_page/parsempo,AI-powered Digital Signage and Digital Out-of-home Displays,Retail & Marketing,2019,Nov-50,Pre-Seed,11506817
Essence,https://finder.startupnationcentral.org/company_page/essence-smartcare,"Security, Smart Home, and Telecare",Security Technologies,1994,201-500,Mature,865102
Getwizer,https://finder.startupnationcentral.org/company_page/getWizer,Consumer Insight Platform,"Enterprise, IT & Data Infrastructure",2014,Nov-50,A,10339630
EndoSpan,https://finder.startupnationcentral.org/company_page/endospan,Stent Graft Systems for Aneurysms and Dissections,Life Sciences & HealthTech,2008,51-200,B,17988904
Silicom,https://finder.startupnationcentral.org/company_page/silicom,High-performance Networking and Data Infrastructure Solutions,"Enterprise, IT & Data Infrastructure",1987,201-500,Public,33558
DBmaestro,https://finder.startupnationcentral.org/company_page/dbmaestro,Rapid Database Automation,"Enterprise, IT & Data Infrastructure",2008,Nov-50,B,457315
Safe-T,https://finder.startupnationcentral.org/company_page/safe-t,Cybersecurity and Privacy Solutions,Security Technologies,2013,Nov-50,Mature,684904
Beecardia,https://finder.startupnationcentral.org/company_page/beecardia,Mobile Health and Cloud Platform for Cardiology and Pulmonology,Life Sciences & HealthTech,2008,Nov-50,Pre-Funding,
Compit,https://finder.startupnationcentral.org/company_page/compit,Real Estate Valuation and Analysis Platform,FinTech,2014,Nov-50,Pre-Funding,10530426
3R Pharma,https://finder.startupnationcentral.org/company_page/3r-pharma,Ophthalmic Cannabis Solutions,Life Sciences & HealthTech,2020,01-Oct,Seed,66921147
Wing Security,https://finder.startupnationcentral.org/company_page/wing-security,SaaS Security Posture Management ,Security Technologies,2020,Nov-50,A,74984769
DormoTech Medical,https://finder.startupnationcentral.org/company_page/dormotech-medical,At-home Sleep Assessment System,Life Sciences & HealthTech,2016,01-Oct,Seed,68496321
AmplifAIr,https://finder.startupnationcentral.org/company_page/amplifair,Insurance and Credit Risk Model Decision Insights,FinTech,2022,,Seed,
Axiom Security,https://finder.startupnationcentral.org/company_page/axiom-security,Automated Cloud and SaaS Permissions Management Platform ,Security Technologies,2021,Nov-50,Seed,83056253
Eye-Net Mobile,https://finder.startupnationcentral.org/company_page/eye-net-mobile,Cellular-based Accident Prevention Solutions,Smart Mobility,2018,Nov-50,Pre-Funding,13986230
docdok.health,https://finder.startupnationcentral.org/company_page/docdok-health,Healthcare Communication Platform,Life Sciences & HealthTech,2017,01-Oct,Seed,11276857
Zipy,https://finder.startupnationcentral.org/company_page/zipy,eCommerce Platform for Shopping Abroad,Retail & Marketing,2013,Nov-50,Pre-Funding,9305796
Servotronix Motion Control,https://finder.startupnationcentral.org/company_page/servotronix-motion-control-ltd,Servo Drives and Components,Industrial Technologies,1991,51-200,Mature,1656227
FeedVisor,https://finder.startupnationcentral.org/company_page/feedvisor,Repricing Platform for Online Marketplaces,Retail & Marketing,2011,51-200,B,1202146
Blue I Water Technologies,https://finder.startupnationcentral.org/company_page/blue-i-water-technologies,Water Quality Analyzers and Controllers,AgriFood-tech & Water,2003,Nov-50,Mature,828031
Toonimo,https://finder.startupnationcentral.org/company_page/toonimo,Audio-visual Guidance Platform for Website Visitors,Retail & Marketing,2012,Nov-50,Seed,3305762
Mabaya,https://finder.startupnationcentral.org/company_page/mabaya,Ad Exchange Solutions for eCommerce ,Retail & Marketing,2013,Nov-50,Mature,5013060
gigaroo,https://finder.startupnationcentral.org/company_page/gigaroo,Empowering Gen Z with Financial Security,FinTech,2022,Nov-50,Pre-Seed,81632798
TRACXPOiNT,https://finder.startupnationcentral.org/company_page/tracxpoint,AI-powered Grocery Cart Technology,Retail & Marketing,2015,Nov-50,Pre-Funding,17896316
noogata,https://finder.startupnationcentral.org/company_page/team86,Facilitating Machine-learning Solutions for Enterprises,Retail & Marketing,2018,Nov-50,A,19214238
Verified Planet,https://finder.startupnationcentral.org/company_page/verified-planet,Ensuring Lab Sample Safety,Life Sciences & HealthTech,2017,01-Oct,Seed,17984199
Varada,https://finder.startupnationcentral.org/company_page/expandb,Autonomous Data Indexing Technology,"Enterprise, IT & Data Infrastructure",2017,Nov-50,Mature,18056868
LitiGate,https://finder.startupnationcentral.org/company_page/paralegal-ai,AI-powered Litigation Platform,"Enterprise, IT & Data Infrastructure",2017,Nov-50,Seed,17962450
Wematch.live,https://finder.startupnationcentral.org/company_page/wematch-live,Communication Tool for Traders and Brokers,FinTech,2016,51-200,B,17965901
Odeeo,https://finder.startupnationcentral.org/company_page/odeeo,In-game Audio Advertising Platform ,Retail & Marketing,2021,Nov-50,Seed,67215591
DMway Analytics,https://finder.startupnationcentral.org/company_page/dmway,Predictive Analytics,"Enterprise, IT & Data Infrastructure",2014,01-Oct,Seed,5039245
PainReform,https://finder.startupnationcentral.org/company_page/painreform,Pain Treatment Drugs,Life Sciences & HealthTech,2007,01-Oct,Public,689691
Way2Vat,https://finder.startupnationcentral.org/company_page/way2vat,VAT Reclamation App for Global Companies,FinTech,2016,Nov-50,Public,10456022
Simplex,https://finder.startupnationcentral.org/company_page/simplex,Fraud Prevention in Online Payments,FinTech,2014,51-200,Mature,5174336
NanoPass Technologies,https://finder.startupnationcentral.org/company_page/nanopass-technologies,Intradermal Vaccine Delivery Solutions,Life Sciences & HealthTech,2000,Nov-50,C,3525547
InsFocus,https://finder.startupnationcentral.org/company_page/insfocus,Business Intelligence Solution for Insurance,"Enterprise, IT & Data Infrastructure",2003,Nov-50,Pre-Funding,431987
Smart Medical Systems,https://finder.startupnationcentral.org/company_page/smart-medical-systems,Medical Devices for GI Endoscopy,Life Sciences & HealthTech,2005,Nov-50,B,1389915
BioView,https://finder.startupnationcentral.org/company_page/bioview,Automated Cell Diagnostic Platform,Life Sciences & HealthTech,1998,Nov-50,Public,80102
BIRD Aerosystems,https://finder.startupnationcentral.org/company_page/bird-aerosystems,Special Mission Aircraft Solutions and Airborne Missile Protection Systems,Security Technologies,2001,51-200,Mature,472408
Ikko Health,https://finder.startupnationcentral.org/company_page/ikko-health,,Life Sciences & HealthTech,2021,Nov-50,Seed,72699754
Nexog,https://finder.startupnationcentral.org/company_page/nexog,Network Automation and Orchestration Solutions ,"Enterprise, IT & Data Infrastructure",2018,Nov-50,Pre-Funding,
Sproutt Insurance,https://finder.startupnationcentral.org/company_page/aktibo-solutions,Intelligence Platform for Buying Insurance,FinTech,2018,51-200,B,14006093
GiantLeap,https://finder.startupnationcentral.org/company_page/giantleap-technologies,Personalized Child Development Assessment Platform,Life Sciences & HealthTech,2018,01-Oct,Pre-Seed,12596698
Green Point,https://finder.startupnationcentral.org/company_page/green-point,Home Machine for Extracting Cannabis Oil,Life Sciences & HealthTech,2019,01-Oct,Seed,31429821
Cynomi,https://finder.startupnationcentral.org/company_page/cynomi,AI-powered Cyber Protection and Regulation Compliance,Security Technologies,2020,Nov-50,Seed,65576047
Hilico,https://finder.startupnationcentral.org/company_page/hilico,Rain Harvesting Device,AgriFood-tech & Water,2016,01-Oct,Pre-Funding,29001776
Webz.io,https://finder.startupnationcentral.org/company_page/webhose-io,Machine-defined Web Data,"Enterprise, IT & Data Infrastructure",2014,Nov-50,Pre-Funding,4849734
Novoxel,https://finder.startupnationcentral.org/company_page/novoxel,Skin Rejuvenation Technology,Life Sciences & HealthTech,2011,Nov-50,Pre-Funding,3497374
Datum Dental,https://finder.startupnationcentral.org/company_page/datum-dental-ltd-datum-biotech-s-subsidiary,Dental Biomaterial Products for Tissue and Bone Regeneration,Life Sciences & HealthTech,2012,51-200,Mature,3172146
Neo Composite,https://finder.startupnationcentral.org/company_page/neo-composite,Composite Materials,Industrial Technologies,2015,01-Oct,Pre-Funding,27111771
DAGsHub,https://finder.startupnationcentral.org/company_page/dagshub,Data Version Control and Collaboration Platform,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Seed,13986265
Amaryllis Payment Solutions,https://finder.startupnationcentral.org/company_page/amaryllis-payment-solutions,Modular End-to-end Payment Platform,FinTech,2011,Nov-50,Seed,10241323
QualityLine,https://finder.startupnationcentral.org/company_page/qualityline-production-technologies,Manufacturing Data Analytics,Industrial Technologies,2014,Nov-50,Seed,10251548
NeoManna,https://finder.startupnationcentral.org/company_page/neomanna,Black Soldier Fly Products,AgriFood-tech & Water,2022,01-Oct,Seed,
Vinvo,https://finder.startupnationcentral.org/company_page/vinvo,Donation-driven Secondhand Clothing Platform,Retail & Marketing,2021,01-Oct,Pre-Funding,72377673
Real,https://finder.startupnationcentral.org/company_page/real,Technology Powered Real Estate Broker,FinTech,2014,500+,Public,5098287
LabGuru,https://finder.startupnationcentral.org/company_page/labguru,Lab Management Software,Life Sciences & HealthTech,2007,51-200,Mature,254659
Nexense,https://finder.startupnationcentral.org/company_page/nexense,Wearable Sensor Platform for Sleep Disorders,Life Sciences & HealthTech,1990,Nov-50,A,130160
Axon Vision,https://finder.startupnationcentral.org/company_page/axon-vision,AI-based Situational Awareness,Security Technologies,2017,Nov-50,Seed,11324368
ReSight,https://finder.startupnationcentral.org/company_page/resight,AI-powered Spatial Indexing,"Enterprise, IT & Data Infrastructure",2018,01-Oct,Seed,27174821
IMedis,https://finder.startupnationcentral.org/company_page/imedis-medical,AI-powered Quality Assurance Platform for Radiology,Life Sciences & HealthTech,2018,01-Oct,Pre-Seed,
Flying Production,https://finder.startupnationcentral.org/company_page/flying-production,VTOL Multirotor UAVs,Aerospace & Aviation,2011,Nov-50,Mature,10590861
Reli AI,https://finder.startupnationcentral.org/company_page/reli-ai,Deep Data Location Intelligence,FinTech,2021,01-Oct,Pre-Funding,80678497
Simplivia Healthcare,https://finder.startupnationcentral.org/company_page/simplivia-healthcare,Closed-system Transfer Device for Safe Compounding and Administration,Life Sciences & HealthTech,2019,51-200,Mature,29279723
Flightree,https://finder.startupnationcentral.org/company_page/flightree,Travel Company,Retail & Marketing,2021,01-Oct,Pre-Funding,
